PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID),PUWeekday
Manhattan,Upper East Side South,749863,237,749863,Wednesday
Manhattan,Upper East Side South,742343,237,742343,Thursday
Manhattan,East Village,741868,79,741868,Saturday
Manhattan,Midtown Center,723896,161,723896,Wednesday
Manhattan,Upper East Side South,710040,237,710040,Tuesday
Manhattan,Midtown Center,704153,161,704153,Thursday
Manhattan,Midtown Center,701266,161,701266,Tuesday
Manhattan,Upper East Side South,676819,237,676819,Friday
Manhattan,Upper East Side North,658616,236,658616,Wednesday
Manhattan,Midtown East,656406,162,656406,Wednesday
Manhattan,Upper East Side North,652502,236,652502,Thursday
Manhattan,Midtown East,649950,162,649950,Thursday
Manhattan,Midtown Center,643138,161,643138,Friday
Manhattan,Upper East Side North,635110,236,635110,Tuesday
Manhattan,East Village,634980,79,634980,Sunday
Manhattan,Midtown Center,629125,161,629125,Monday
Manhattan,Upper East Side North,622727,236,622727,Friday
Manhattan,Midtown East,619748,162,619748,Tuesday
Manhattan,Upper East Side South,615561,237,615561,Monday
Manhattan,Murray Hill,593388,170,593388,Thursday
Manhattan,Penn Station/Madison Sq West,588991,186,588991,Friday
Manhattan,Midtown East,587369,162,587369,Friday
Manhattan,Times Sq/Theatre District,585978,230,585978,Wednesday
Manhattan,Penn Station/Madison Sq West,580289,186,580289,Wednesday
Manhattan,Union Sq,579563,234,579563,Thursday
Manhattan,Union Sq,578781,234,578781,Wednesday
Manhattan,Times Sq/Theatre District,578182,230,578182,Thursday
Manhattan,Murray Hill,576930,170,576930,Wednesday
Manhattan,Penn Station/Madison Sq West,576330,186,576330,Thursday
Manhattan,Murray Hill,575552,170,575552,Friday
Manhattan,Union Sq,571806,234,571806,Friday
Manhattan,Clinton East,569516,48,569516,Saturday
Manhattan,Penn Station/Madison Sq West,568826,186,568826,Tuesday
Manhattan,Upper East Side North,567873,236,567873,Monday
Manhattan,Times Sq/Theatre District,566436,230,566436,Tuesday
Manhattan,Times Sq/Theatre District,564203,230,564203,Friday
Manhattan,Penn Station/Madison Sq West,563356,186,563356,Monday
Manhattan,Penn Station/Madison Sq West,555960,186,555960,Sunday
Manhattan,Midtown East,555623,162,555623,Monday
Manhattan,Clinton East,543453,48,543453,Friday
Manhattan,Times Sq/Theatre District,543195,230,543195,Saturday
Manhattan,Murray Hill,540882,170,540882,Tuesday
Manhattan,Union Sq,540337,234,540337,Tuesday
Manhattan,Penn Station/Madison Sq West,539468,186,539468,Saturday
Manhattan,Union Sq,535012,234,535012,Saturday
Manhattan,Upper East Side South,527859,237,527859,Saturday
Manhattan,Clinton East,524216,48,524216,Thursday
Manhattan,Clinton East,518536,48,518536,Sunday
Manhattan,East Village,512237,79,512237,Friday
Manhattan,Lincoln Square East,511260,142,511260,Saturday
Queens,LaGuardia Airport,504903,138,504903,Monday
Manhattan,Times Sq/Theatre District,502400,230,502400,Sunday
Manhattan,Clinton East,501951,48,501951,Wednesday
Manhattan,Times Sq/Theatre District,501289,230,501289,Monday
Manhattan,Lincoln Square East,493530,142,493530,Thursday
Manhattan,Lincoln Square East,493405,142,493405,Friday
Manhattan,Lincoln Square East,488507,142,488507,Wednesday
Manhattan,Upper East Side North,483174,236,483174,Saturday
Manhattan,Midtown North,480693,163,480693,Wednesday
Manhattan,Midtown North,480646,163,480646,Thursday
Manhattan,Murray Hill,480041,170,480041,Monday
Manhattan,Clinton East,476636,48,476636,Tuesday
Manhattan,Midtown Center,475773,161,475773,Saturday
Queens,LaGuardia Airport,474384,138,474384,Wednesday
Manhattan,Union Sq,470398,234,470398,Monday
Manhattan,West Village,467616,249,467616,Saturday
Manhattan,Murray Hill,467032,170,467032,Saturday
Queens,LaGuardia Airport,466237,138,466237,Thursday
Manhattan,Lincoln Square East,465649,142,465649,Tuesday
Queens,LaGuardia Airport,461293,138,461293,Tuesday
Manhattan,Midtown North,458032,163,458032,Friday
Manhattan,Midtown North,456945,163,456945,Tuesday
Queens,LaGuardia Airport,448185,138,448185,Friday
Queens,JFK Airport,441893,132,441893,Monday
Manhattan,Upper West Side South,440625,239,440625,Saturday
Manhattan,Upper West Side South,437723,239,437723,Friday
Manhattan,East Chelsea,435984,68,435984,Saturday
Manhattan,Gramercy,434111,107,434111,Friday
Manhattan,Clinton East,432376,48,432376,Monday
Manhattan,Gramercy,428014,107,428014,Saturday
Queens,JFK Airport,427602,132,427602,Sunday
Manhattan,Union Sq,426755,234,426755,Sunday
Queens,LaGuardia Airport,426092,138,426092,Sunday
Manhattan,Lower East Side,424582,148,424582,Saturday
Manhattan,Midtown South,421090,164,421090,Friday
Manhattan,Upper East Side South,419773,237,419773,Sunday
Manhattan,Upper West Side South,419758,239,419758,Thursday
Manhattan,Lincoln Square East,417398,142,417398,Sunday
Manhattan,Lincoln Square East,417106,142,417106,Monday
Manhattan,Midtown South,416532,164,416532,Thursday
Manhattan,Midtown East,416118,162,416118,Saturday
Manhattan,Gramercy,415549,107,415549,Thursday
Manhattan,East Village,414351,79,414351,Thursday
Manhattan,Midtown North,414093,163,414093,Monday
Manhattan,Upper West Side South,412707,239,412707,Wednesday
Manhattan,Midtown South,410105,164,410105,Wednesday
Manhattan,Midtown South,408638,164,408638,Saturday
Manhattan,East Chelsea,406726,68,406726,Friday
Manhattan,Lenox Hill West,405996,141,405996,Friday
Manhattan,Upper East Side North,403628,236,403628,Sunday
Manhattan,Midtown North,399981,163,399981,Saturday
Manhattan,East Chelsea,398871,68,398871,Sunday
Manhattan,Murray Hill,398614,170,398614,Sunday
Manhattan,Upper West Side South,397603,239,397603,Tuesday
Manhattan,Midtown Center,396599,161,396599,Sunday
Manhattan,Upper West Side South,393572,239,393572,Sunday
Manhattan,Gramercy,392756,107,392756,Wednesday
Manhattan,East Chelsea,391540,68,391540,Thursday
Queens,JFK Airport,388727,132,388727,Friday
Manhattan,Lenox Hill West,388235,141,388235,Thursday
Manhattan,Midtown South,384283,164,384283,Tuesday
Manhattan,Lower East Side,384238,148,384238,Sunday
Manhattan,West Village,383053,249,383053,Sunday
Manhattan,Lenox Hill West,381820,141,381820,Wednesday
Manhattan,Lenox Hill West,380818,141,380818,Saturday
Manhattan,Midtown East,378270,162,378270,Sunday
Manhattan,East Village,376674,79,376674,Wednesday
Queens,JFK Airport,375742,132,375742,Tuesday
Manhattan,East Chelsea,375405,68,375405,Wednesday
Queens,JFK Airport,373956,132,373956,Thursday
Queens,JFK Airport,370383,132,370383,Wednesday
Manhattan,West Village,369490,249,369490,Friday
Manhattan,Upper West Side South,363244,239,363244,Monday
Manhattan,Gramercy,361553,107,361553,Tuesday
Manhattan,Garment District,361113,100,361113,Wednesday
Manhattan,Lenox Hill West,360384,141,360384,Tuesday
Manhattan,Garment District,356775,100,356775,Thursday
Manhattan,Gramercy,355675,107,355675,Sunday
Manhattan,Midtown South,355468,164,355468,Sunday
Manhattan,Flatiron,353893,90,353893,Saturday
Manhattan,East Chelsea,351399,68,351399,Tuesday
Manhattan,Garment District,350965,100,350965,Tuesday
Manhattan,Midtown South,348980,164,348980,Monday
Manhattan,Garment District,348874,100,348874,Friday
Queens,JFK Airport,348396,132,348396,Saturday
Manhattan,Midtown North,344357,163,344357,Sunday
Manhattan,Sutton Place/Turtle Bay North,340122,229,340122,Thursday
Manhattan,East Village,340022,79,340022,Tuesday
Manhattan,Sutton Place/Turtle Bay North,338275,229,338275,Friday
Manhattan,Greenwich Village South,333737,114,333737,Saturday
Manhattan,Lenox Hill West,333492,141,333492,Monday
Manhattan,Sutton Place/Turtle Bay North,331923,229,331923,Wednesday
Manhattan,Garment District,327814,100,327814,Monday
Manhattan,TriBeCa/Civic Center,327691,231,327691,Thursday
Manhattan,Yorkville West,327654,263,327654,Saturday
Manhattan,Flatiron,327239,90,327239,Friday
Manhattan,Upper West Side North,325101,238,325101,Friday
Manhattan,West Village,323044,249,323044,Thursday
Manhattan,Upper West Side North,320105,238,320105,Thursday
Manhattan,East Chelsea,318785,68,318785,Monday
Manhattan,Yorkville West,317601,263,317601,Friday
Manhattan,Upper West Side North,317310,238,317310,Wednesday
Manhattan,Lenox Hill West,316852,141,316852,Sunday
Manhattan,TriBeCa/Civic Center,315199,231,315199,Wednesday
Manhattan,TriBeCa/Civic Center,314753,231,314753,Friday
Manhattan,Lenox Hill East,314456,140,314456,Wednesday
Manhattan,Gramercy,314177,107,314177,Monday
Manhattan,Lenox Hill East,309449,140,309449,Thursday
Manhattan,Sutton Place/Turtle Bay North,309313,229,309313,Tuesday
Manhattan,Flatiron,308488,90,308488,Thursday
Manhattan,East Village,307127,79,307127,Monday
Manhattan,West Village,304781,249,304781,Wednesday
Manhattan,Lenox Hill East,304769,140,304769,Friday
Manhattan,Upper West Side North,303226,238,303226,Tuesday
Manhattan,Flatiron,300482,90,300482,Sunday
Manhattan,Flatiron,300471,90,300471,Wednesday
Manhattan,TriBeCa/Civic Center,300446,231,300446,Saturday
Manhattan,Lenox Hill East,299501,140,299501,Tuesday
Manhattan,Upper West Side North,297239,238,297239,Saturday
Manhattan,Garment District,296897,100,296897,Saturday
Manhattan,Greenwich Village North,294451,113,294451,Saturday
Manhattan,Sutton Place/Turtle Bay North,294080,229,294080,Saturday
Manhattan,TriBeCa/Civic Center,292049,231,292049,Tuesday
Manhattan,Greenwich Village North,285470,113,285470,Friday
Manhattan,Yorkville West,281906,263,281906,Sunday
Manhattan,Yorkville West,281374,263,281374,Thursday
Manhattan,Greenwich Village North,278471,113,278471,Thursday
Manhattan,Greenwich Village North,278218,113,278218,Wednesday
Manhattan,Flatiron,277297,90,277297,Tuesday
Manhattan,Upper West Side North,276968,238,276968,Monday
Manhattan,Yorkville West,276061,263,276061,Wednesday
Manhattan,Greenwich Village South,274828,114,274828,Sunday
Manhattan,West Village,274752,249,274752,Tuesday
Manhattan,Lenox Hill East,272326,140,272326,Monday
Manhattan,Sutton Place/Turtle Bay North,272070,229,272070,Monday
Manhattan,Upper West Side North,271534,238,271534,Sunday
Unknown,NV,271497,264,271497,Friday
Manhattan,Garment District,265790,100,265790,Sunday
Manhattan,Greenwich Village North,262710,113,262710,Tuesday
Manhattan,Yorkville West,261376,263,261376,Tuesday
Manhattan,TriBeCa/Civic Center,260375,231,260375,Monday
Unknown,NV,258312,264,258312,Saturday
Unknown,NV,257812,264,257812,Thursday
Manhattan,Meatpacking/West Village West,257058,158,257058,Saturday
Manhattan,West Chelsea/Hudson Yards,256620,246,256620,Saturday
Queens,LaGuardia Airport,253296,138,253296,Saturday
Manhattan,Little Italy/NoLiTa,252789,144,252789,Saturday
Manhattan,Flatiron,252106,90,252106,Monday
Manhattan,West Chelsea/Hudson Yards,250729,246,250729,Thursday
Manhattan,West Village,249482,249,249482,Monday
Manhattan,TriBeCa/Civic Center,249221,231,249221,Sunday
Manhattan,Lower East Side,245369,148,245369,Friday
Manhattan,Greenwich Village South,244583,114,244583,Friday
Manhattan,Yorkville West,243997,263,243997,Monday
Unknown,NV,243868,264,243868,Wednesday
Manhattan,UN/Turtle Bay South,243503,233,243503,Friday
Manhattan,Sutton Place/Turtle Bay North,243149,229,243149,Sunday
Manhattan,UN/Turtle Bay South,240568,233,240568,Thursday
Manhattan,Greenwich Village North,239313,113,239313,Sunday
Manhattan,Greenwich Village North,235909,113,235909,Monday
Manhattan,Central Park,235736,43,235736,Friday
Manhattan,UN/Turtle Bay South,235373,233,235373,Wednesday
Manhattan,Kips Bay,234860,137,234860,Friday
Manhattan,West Chelsea/Hudson Yards,233709,246,233709,Sunday
Manhattan,Central Park,233614,43,233614,Saturday
Unknown,NV,233406,264,233406,Sunday
Manhattan,Central Park,233225,43,233225,Thursday
Manhattan,Central Park,231459,43,231459,Wednesday
Manhattan,West Chelsea/Hudson Yards,229105,246,229105,Wednesday
Unknown,NV,229089,264,229089,Tuesday
Manhattan,West Chelsea/Hudson Yards,227505,246,227505,Friday
Manhattan,Kips Bay,222654,137,222654,Saturday
Manhattan,Central Park,221484,43,221484,Tuesday
Manhattan,West Chelsea/Hudson Yards,221182,246,221182,Tuesday
Unknown,NV,219945,264,219945,Monday
Manhattan,UN/Turtle Bay South,218552,233,218552,Tuesday
Manhattan,Meatpacking/West Village West,218442,158,218442,Sunday
Manhattan,Little Italy/NoLiTa,216173,144,216173,Sunday
Manhattan,Yorkville East,214090,262,214090,Friday
Manhattan,Lenox Hill East,211482,140,211482,Saturday
Manhattan,Kips Bay,211223,137,211223,Thursday
Manhattan,Greenwich Village South,210104,114,210104,Thursday
Manhattan,West Chelsea/Hudson Yards,209322,246,209322,Monday
Manhattan,Meatpacking/West Village West,208577,158,208577,Friday
Manhattan,Yorkville East,206038,262,206038,Thursday
Manhattan,Yorkville East,206025,262,206025,Wednesday
Manhattan,Central Park,203416,43,203416,Monday
Manhattan,Kips Bay,199534,137,199534,Wednesday
Manhattan,Greenwich Village South,198085,114,198085,Wednesday
Manhattan,UN/Turtle Bay South,196380,233,196380,Monday
Manhattan,Central Park,196065,43,196065,Sunday
Manhattan,Lower East Side,195267,148,195267,Thursday
Manhattan,Yorkville East,194928,262,194928,Tuesday
Manhattan,Little Italy/NoLiTa,193554,144,193554,Friday
Manhattan,Kips Bay,190718,137,190718,Tuesday
Manhattan,UN/Turtle Bay South,187727,233,187727,Saturday
Manhattan,Lincoln Square West,185125,143,185125,Friday
Manhattan,Kips Bay,182051,137,182051,Sunday
Manhattan,Meatpacking/West Village West,181920,158,181920,Thursday
Manhattan,Lincoln Square West,181148,143,181148,Thursday
Manhattan,Greenwich Village South,180866,114,180866,Tuesday
Manhattan,Lincoln Square West,178867,143,178867,Wednesday
Manhattan,Clinton West,178086,50,178086,Saturday
Manhattan,Yorkville East,177516,262,177516,Saturday
Manhattan,Yorkville East,176053,262,176053,Monday
Manhattan,Lenox Hill East,176015,140,176015,Sunday
Manhattan,Lincoln Square West,175339,143,175339,Saturday
Manhattan,Kips Bay,175047,137,175047,Monday
Manhattan,Battery Park City,173598,13,173598,Thursday
Manhattan,Little Italy/NoLiTa,172980,144,172980,Thursday
Manhattan,Lincoln Square West,172683,143,172683,Tuesday
Manhattan,Battery Park City,170917,13,170917,Wednesday
Manhattan,SoHo,168599,211,168599,Saturday
Manhattan,Meatpacking/West Village West,168543,158,168543,Wednesday
Manhattan,Clinton West,168037,50,168037,Sunday
Manhattan,Battery Park City,167408,13,167408,Friday
Manhattan,Lower East Side,166978,148,166978,Wednesday
Manhattan,Little Italy/NoLiTa,164529,144,164529,Wednesday
Manhattan,Greenwich Village South,161208,114,161208,Monday
Manhattan,Clinton West,160628,50,160628,Friday
Manhattan,Battery Park City,159803,13,159803,Tuesday
Manhattan,UN/Turtle Bay South,159696,233,159696,Sunday
Manhattan,Lincoln Square West,158409,143,158409,Monday
Manhattan,Clinton West,157928,50,157928,Thursday
Manhattan,Lincoln Square West,155797,143,155797,Sunday
Manhattan,Manhattan Valley,154113,151,154113,Saturday
Manhattan,Clinton West,151716,50,151716,Wednesday
Manhattan,Little Italy/NoLiTa,149543,144,149543,Tuesday
Manhattan,Manhattan Valley,149387,151,149387,Friday
Manhattan,Meatpacking/West Village West,148378,158,148378,Tuesday
Manhattan,Yorkville East,148209,262,148209,Sunday
Manhattan,Battery Park City,145296,13,145296,Monday
Manhattan,Financial District North,144397,87,144397,Thursday
Manhattan,Manhattan Valley,142606,151,142606,Sunday
Manhattan,Financial District North,141277,87,141277,Friday
Manhattan,SoHo,140652,211,140652,Friday
Manhattan,SoHo,140237,211,140237,Sunday
Manhattan,Clinton West,139516,50,139516,Tuesday
Manhattan,Little Italy/NoLiTa,138983,144,138983,Monday
Manhattan,Lower East Side,138350,148,138350,Tuesday
Manhattan,Meatpacking/West Village West,138099,158,138099,Monday
Manhattan,Financial District North,137275,87,137275,Wednesday
Manhattan,Battery Park City,137155,13,137155,Saturday
Manhattan,Manhattan Valley,136200,151,136200,Thursday
Manhattan,Manhattan Valley,134703,151,134703,Wednesday
Manhattan,SoHo,134640,211,134640,Thursday
Manhattan,SoHo,131872,211,131872,Wednesday
Manhattan,Clinton West,131767,50,131767,Monday
Manhattan,Manhattan Valley,130157,151,130157,Tuesday
Manhattan,Financial District North,127536,87,127536,Saturday
Manhattan,Lower East Side,126543,148,126543,Monday
Manhattan,Financial District North,126014,87,126014,Tuesday
Manhattan,Manhattan Valley,123641,151,123641,Monday
Manhattan,SoHo,121050,211,121050,Tuesday
Manhattan,World Trade Center,120069,261,120069,Saturday
Manhattan,East Harlem South,119179,75,119179,Friday
Manhattan,Battery Park City,114221,13,114221,Sunday
Manhattan,Financial District North,112892,87,112892,Monday
Manhattan,East Harlem South,111792,75,111792,Saturday
Manhattan,SoHo,111593,211,111593,Monday
Manhattan,East Harlem South,107454,75,107454,Thursday
Manhattan,East Harlem South,105854,75,105854,Wednesday
Manhattan,Hudson Sq,105211,125,105211,Wednesday
Manhattan,Hudson Sq,103291,125,103291,Friday
Manhattan,East Harlem South,102174,75,102174,Sunday
Manhattan,Financial District North,101996,87,101996,Sunday
Manhattan,Hudson Sq,101936,125,101936,Thursday
Manhattan,Hudson Sq,101590,125,101590,Saturday
Manhattan,World Trade Center,100752,261,100752,Friday
Manhattan,World Trade Center,100565,261,100565,Sunday
Manhattan,East Harlem South,99144,75,99144,Tuesday
Manhattan,World Trade Center,97997,261,97997,Thursday
Manhattan,Hudson Sq,95729,125,95729,Tuesday
Manhattan,World Trade Center,94889,261,94889,Wednesday
Manhattan,East Harlem South,93611,75,93611,Monday
Manhattan,World Trade Center,88964,261,88964,Tuesday
Manhattan,Morningside Heights,88457,166,88457,Friday
Manhattan,World Trade Center,87194,261,87194,Monday
Manhattan,Hudson Sq,87078,125,87078,Monday
Manhattan,Hudson Sq,86340,125,86340,Sunday
Manhattan,Morningside Heights,84824,166,84824,Thursday
Manhattan,Morningside Heights,81928,166,81928,Wednesday
Manhattan,Morningside Heights,79478,166,79478,Saturday
Manhattan,Morningside Heights,79136,166,79136,Tuesday
Manhattan,Financial District South,77623,88,77623,Thursday
Manhattan,Financial District South,74535,88,74535,Wednesday
Manhattan,Morningside Heights,73657,166,73657,Monday
Manhattan,Morningside Heights,73632,166,73632,Sunday
Manhattan,East Harlem North,72500,74,72500,Saturday
Manhattan,Financial District South,72408,88,72408,Friday
Manhattan,Central Harlem,69533,41,69533,Saturday
Manhattan,East Harlem North,68249,74,68249,Friday
Manhattan,Financial District South,67921,88,67921,Tuesday
Manhattan,East Harlem North,67503,74,67503,Sunday
Manhattan,Central Harlem,67112,41,67112,Sunday
Manhattan,Alphabet City,65193,4,65193,Saturday
Manhattan,Central Harlem,64110,41,64110,Friday
Manhattan,Financial District South,61471,88,61471,Monday
Manhattan,Financial District South,59145,88,59145,Saturday
Manhattan,Stuy Town/Peter Cooper Village,57053,224,57053,Saturday
Manhattan,Alphabet City,55877,4,55877,Sunday
Manhattan,East Harlem North,54824,74,54824,Thursday
Manhattan,Bloomingdale,54802,24,54802,Saturday
Manhattan,Central Harlem,52804,41,52804,Thursday
Manhattan,Bloomingdale,51582,24,51582,Friday
Manhattan,East Harlem North,51300,74,51300,Wednesday
Manhattan,Central Harlem,50517,41,50517,Wednesday
Manhattan,Bloomingdale,49467,24,49467,Sunday
Manhattan,Stuy Town/Peter Cooper Village,49281,224,49281,Friday
Manhattan,East Harlem North,49264,74,49264,Monday
Manhattan,Two Bridges/Seward Park,48275,232,48275,Saturday
Manhattan,East Harlem North,47849,74,47849,Tuesday
Manhattan,Stuy Town/Peter Cooper Village,47654,224,47654,Sunday
Manhattan,Central Harlem,47308,41,47308,Tuesday
Manhattan,Financial District South,47127,88,47127,Sunday
Manhattan,Bloomingdale,47024,24,47024,Thursday
Manhattan,Central Harlem,46575,41,46575,Monday
Manhattan,Alphabet City,45742,4,45742,Friday
Manhattan,Bloomingdale,45012,24,45012,Wednesday
Manhattan,Chinatown,44544,45,44544,Saturday
Manhattan,Stuy Town/Peter Cooper Village,44316,224,44316,Thursday
Manhattan,Bloomingdale,43365,24,43365,Tuesday
Manhattan,Two Bridges/Seward Park,43103,232,43103,Sunday
Manhattan,Stuy Town/Peter Cooper Village,42465,224,42465,Wednesday
Manhattan,Stuy Town/Peter Cooper Village,41077,224,41077,Tuesday
Queens,Astoria,40524,7,40524,Saturday
Manhattan,Chinatown,39913,45,39913,Friday
Manhattan,Bloomingdale,39849,24,39849,Monday
Queens,Astoria,39051,7,39051,Sunday
Manhattan,Chinatown,38210,45,38210,Sunday
Brooklyn,Williamsburg (North Side),37927,255,37927,Saturday
Manhattan,Chinatown,37323,45,37323,Thursday
Manhattan,Seaport,37277,209,37277,Saturday
Manhattan,Stuy Town/Peter Cooper Village,36851,224,36851,Monday
Manhattan,Seaport,36218,209,36218,Friday
Manhattan,Chinatown,35573,45,35573,Wednesday
Manhattan,Alphabet City,35169,4,35169,Thursday
Manhattan,Seaport,34737,209,34737,Thursday
Brooklyn,Williamsburg (North Side),34301,255,34301,Sunday
Manhattan,Chinatown,33936,45,33936,Tuesday
Queens,Sunnyside,33467,226,33467,Saturday
Manhattan,Two Bridges/Seward Park,32617,232,32617,Friday
Manhattan,Alphabet City,31856,4,31856,Wednesday
Manhattan,Seaport,31787,209,31787,Wednesday
Manhattan,Chinatown,31665,45,31665,Monday
Queens,Sunnyside,30464,226,30464,Sunday
Manhattan,Seaport,30381,209,30381,Sunday
Manhattan,Central Harlem North,30205,42,30205,Saturday
Manhattan,Central Harlem North,30183,42,30183,Sunday
Brooklyn,Williamsburg (South Side),29860,256,29860,Saturday
Manhattan,Central Harlem North,29682,42,29682,Friday
