PU_Borough,PUWeekday,PUHour,avg(passenger_count)
Staten Island,Tuesday,0,1.0833333333333333
Staten Island,Saturday,2,1.0769230769230769
Staten Island,Monday,5,1.0357142857142858
EWR,Tuesday,20,1.0344827586206897
EWR,Saturday,2,1.0
EWR,Thursday,23,1.0
Staten Island,Monday,2,1.0
EWR,Monday,23,1.0
Staten Island,Monday,4,1.0
Staten Island,Friday,0,1.0
EWR,Friday,1,1.0
Staten Island,Friday,5,1.0
EWR,Sunday,1,1.0
Staten Island,Friday,20,1.0
EWR,Friday,0,1.0
Staten Island,Sunday,13,1.0
Staten Island,Friday,21,1.0
EWR,Saturday,1,1.0
EWR,Sunday,2,1.0
Staten Island,Monday,6,1.0
EWR,Thursday,3,1.0
EWR,Tuesday,2,1.0
Staten Island,Monday,18,1.0
Staten Island,Friday,6,1.0
Staten Island,Saturday,7,1.0
EWR,Tuesday,23,1.0
Staten Island,Thursday,5,1.0
Bronx,Monday,11,1.5022222222222221
Bronx,Tuesday,18,1.5009451795841209
Staten Island,Saturday,23,1.5
EWR,Sunday,19,1.5
Staten Island,Sunday,5,1.5
Staten Island,Sunday,7,1.5
EWR,Thursday,15,1.5
Staten Island,Sunday,21,1.5
EWR,Wednesday,3,1.5
EWR,Friday,22,1.5
Staten Island,Thursday,21,1.5
EWR,Friday,20,1.5
Staten Island,Thursday,17,1.5
Staten Island,Tuesday,14,1.5
EWR,Wednesday,1,1.5
EWR,Saturday,13,1.5
Unknown,Friday,15,1.4037271399763578
Unknown,Monday,10,1.4035036778939218
Bronx,Wednesday,4,1.4025974025974026
Unknown,Tuesday,12,1.4022038567493114
Unknown,Friday,8,1.4009638554216868
Staten Island,Wednesday,1,1.4
EWR,Sunday,4,1.4
Staten Island,Monday,21,1.4
Staten Island,Wednesday,2,1.4
Staten Island,Wednesday,23,1.4
EWR,Saturday,8,1.4
Staten Island,Thursday,16,1.4
EWR,Monday,0,1.4
Queens,Friday,20,1.668060664954536
Queens,Thursday,10,1.6675406630521732
Queens,Wednesday,18,1.6667177053029143
Staten Island,Sunday,6,1.6666666666666667
EWR,Monday,15,1.6666666666666667
EWR,Wednesday,2,1.6666666666666667
Staten Island,Monday,3,1.6666666666666667
Bronx,Monday,2,1.6666666666666667
EWR,Monday,3,1.6666666666666667
EWR,Monday,2,1.6666666666666667
Staten Island,Sunday,3,2.0625
Staten Island,Friday,12,2.0588235294117645
EWR,Tuesday,12,2.0
EWR,Thursday,1,2.0
Staten Island,Wednesday,18,2.0
Staten Island,Friday,17,2.0
Staten Island,Thursday,7,2.0
Staten Island,Friday,1,2.0
Staten Island,Wednesday,11,2.0
Staten Island,Monday,16,2.0
Staten Island,Wednesday,16,2.0
Staten Island,Wednesday,3,2.0
EWR,Sunday,22,1.3333333333333333
Staten Island,Monday,23,1.3333333333333333
Staten Island,Wednesday,0,1.3333333333333333
Staten Island,Thursday,1,1.3333333333333333
EWR,Wednesday,23,1.3333333333333333
EWR,Tuesday,8,1.3333333333333333
EWR,Monday,22,1.3333333333333333
EWR,Wednesday,12,1.3333333333333333
EWR,Thursday,18,1.2181818181818183
EWR,Tuesday,3,1.2142857142857142
EWR,Friday,5,1.2105263157894737
EWR,Sunday,0,1.2
EWR,Tuesday,1,1.2
EWR,Sunday,3,1.2
Staten Island,Thursday,19,1.2
Staten Island,Thursday,0,1.2
Staten Island,Thursday,18,1.2
Staten Island,Friday,3,1.2
Staten Island,Sunday,12,1.2
Unknown,Tuesday,17,1.4334273415466825
Unknown,Wednesday,0,1.4321766561514195
Bronx,Monday,5,1.4308510638297873
Unknown,Monday,12,1.4307880055788005
Unknown,Thursday,23,1.4295283282165783
Staten Island,Saturday,22,1.4285714285714286
Staten Island,Thursday,15,1.4285714285714286
Staten Island,Sunday,23,2.6
Staten Island,Wednesday,19,2.6
Staten Island,Thursday,8,2.6
Staten Island,Friday,10,2.5714285714285716
Staten Island,Wednesday,9,2.5555555555555554
Staten Island,Tuesday,7,2.5384615384615383
Staten Island,Sunday,17,2.5384615384615383
Staten Island,Wednesday,13,2.466666666666667
Staten Island,Tuesday,10,2.4642857142857144
Staten Island,Monday,11,2.4444444444444446
Staten Island,Tuesday,11,2.4285714285714284
Staten Island,Friday,7,2.411764705882353
Staten Island,Saturday,20,2.3846153846153846
Staten Island,Tuesday,23,2.3333333333333335
Staten Island,Tuesday,2,2.3333333333333335
Staten Island,Thursday,10,2.3181818181818183
Staten Island,Saturday,10,2.3181818181818183
Staten Island,Monday,7,2.3076923076923075
Staten Island,Friday,13,2.3076923076923075
Staten Island,Wednesday,21,2.2142857142857144
Staten Island,Tuesday,3,2.2
Staten Island,Saturday,13,2.1818181818181817
Staten Island,Saturday,17,2.1666666666666665
Staten Island,Monday,20,2.1666666666666665
Staten Island,Tuesday,12,2.142857142857143
EWR,Thursday,2,1.125
Staten Island,Monday,22,1.125
EWR,Thursday,0,1.125
Staten Island,Saturday,0,1.1176470588235294
Staten Island,Thursday,6,1.1176470588235294
Staten Island,Tuesday,20,1.1111111111111112
Staten Island,Tuesday,4,1.1111111111111112
Staten Island,Monday,14,4.363636363636363
Staten Island,Friday,15,3.727272727272727
Staten Island,Monday,13,3.3529411764705883
Staten Island,Tuesday,9,3.3333333333333335
Staten Island,Thursday,14,3.25
Staten Island,Wednesday,6,3.2142857142857144
Manhattan,Thursday,18,1.6012415950662504
Manhattan,Wednesday,12,1.601060609007397
Manhattan,Tuesday,13,1.6008488517739612
Manhattan,Wednesday,14,1.6007491675222514
Brooklyn,Wednesday,7,1.6006305832895429
Manhattan,Wednesday,18,1.6003188702419215
Staten Island,Wednesday,4,1.2857142857142858
EWR,Thursday,22,1.2857142857142858
Staten Island,Thursday,20,1.2857142857142858
Staten Island,Saturday,21,1.2857142857142858
EWR,Monday,4,1.2857142857142858
Staten Island,Tuesday,22,1.2777777777777777
Staten Island,Saturday,6,1.1818181818181819
Staten Island,Sunday,15,1.1818181818181819
EWR,Tuesday,22,1.1666666666666667
EWR,Wednesday,22,1.1666666666666667
Staten Island,Tuesday,21,1.1666666666666667
Staten Island,Thursday,3,1.1666666666666667
Queens,Saturday,18,1.7255568138920347
Manhattan,Saturday,22,1.7235949915212465
Queens,Saturday,19,1.7230204142825016
Staten Island,Thursday,22,1.7222222222222223
Queens,Saturday,20,1.7216315956692818
Manhattan,Saturday,23,1.7215676160442666
Staten Island,Wednesday,15,1.6153846153846154
Manhattan,Monday,19,1.615171315712646
Manhattan,Tuesday,15,1.6151187710367285
Brooklyn,Tuesday,21,1.614678899082569
Brooklyn,Wednesday,21,1.6146226066385747
Brooklyn,Friday,20,1.6145905621096461
Staten Island,Sunday,11,1.4545454545454546
Staten Island,Friday,2,1.4545454545454546
Unknown,Monday,14,1.4543120374565777
Unknown,Wednesday,3,1.4537719795802608
Unknown,Wednesday,1,1.453427065026362
Unknown,Thursday,0,1.4530764449968925
Manhattan,Saturday,21,1.7203451852141753
Manhattan,Sunday,0,1.7135493576027885
Manhattan,Saturday,19,1.7101759777774495
Manhattan,Saturday,20,1.710169360749971
Manhattan,Sunday,2,1.7074609817814637
Queens,Saturday,17,1.7057274781412712
Brooklyn,Wednesday,4,1.5411359724612737
Manhattan,Saturday,6,1.5410060028979506
Bronx,Monday,17,1.5408163265306123
Brooklyn,Wednesday,14,1.5388338833883388
Brooklyn,Wednesday,2,1.5387136419500205
Brooklyn,Thursday,15,1.5385395537525355
Manhattan,Sunday,14,1.6896410433076003
Manhattan,Saturday,14,1.6895188962177232
Brooklyn,Saturday,21,1.6893380895759018
Queens,Monday,17,1.6889991858207554
Manhattan,Friday,22,1.6888388384518436
Manhattan,Saturday,0,1.6886622131621005
Queens,Monday,6,1.607388484967577
Manhattan,Wednesday,20,1.6069189515824458
Manhattan,Tuesday,14,1.6067615703410405
Manhattan,Monday,11,1.6066702605000713
Manhattan,Wednesday,19,1.6065019447925926
Manhattan,Monday,3,1.6061946902654867
Queens,Friday,6,1.598780269058296
Manhattan,Thursday,16,1.598609400065586
Manhattan,Friday,12,1.598440699737309
Manhattan,Wednesday,16,1.598437920818745
Manhattan,Thursday,17,1.5983839392433954
Manhattan,Tuesday,11,1.5983319258868698
Manhattan,Monday,10,1.5907453943051042
Brooklyn,Wednesday,19,1.5904153354632589
Manhattan,Wednesday,4,1.5900831500582169
Unknown,Saturday,20,1.5900236803911083
Brooklyn,Monday,8,1.5898674159276496
Queens,Thursday,6,1.5897737625265715
Queens,Thursday,5,1.5873443074419478
Manhattan,Tuesday,10,1.5869805565042228
Queens,Monday,5,1.5865292560680295
Brooklyn,Wednesday,18,1.5864267820542017
Brooklyn,Wednesday,20,1.5862833992476126
Manhattan,Thursday,10,1.586034289438654
Staten Island,Wednesday,8,3.1739130434782608
Staten Island,Sunday,18,3.125
Staten Island,Sunday,19,3.1
Staten Island,Thursday,13,2.9583333333333335
Staten Island,Tuesday,8,2.9411764705882355
Staten Island,Monday,12,2.869565217391304
Manhattan,Tuesday,12,1.598289082083941
Bronx,Sunday,2,1.5980582524271845
Manhattan,Wednesday,17,1.597710621608941
Manhattan,Thursday,11,1.5975241657084949
Manhattan,Friday,13,1.597228984230628
Brooklyn,Thursday,20,1.5972172351885099
Staten Island,Sunday,9,1.3846153846153846
Staten Island,Saturday,19,1.3846153846153846
Unknown,Thursday,7,1.3842897460018815
Unknown,Friday,12,1.3832539142273657
Unknown,Friday,7,1.3823611239914682
Unknown,Friday,9,1.382222963395314
Unknown,Saturday,23,1.6137945149406467
Brooklyn,Wednesday,22,1.6136077508347473
Manhattan,Monday,13,1.6134413925785838
Manhattan,Tuesday,20,1.6134242123217484
Brooklyn,Monday,18,1.6129032258064515
Bronx,Sunday,15,1.6127527216174184
Manhattan,Saturday,1,1.687050424970293
Queens,Friday,18,1.6860017497812774
Queens,Thursday,17,1.685818811347564
Manhattan,Sunday,15,1.6857639028792921
Manhattan,Saturday,16,1.6852940585505034
Manhattan,Sunday,12,1.6852474622169595
Unknown,Tuesday,14,1.4160810095972192
Unknown,Tuesday,19,1.4159062146140011
Bronx,Tuesday,20,1.4157303370786516
Unknown,Wednesday,19,1.4155900086132644
Unknown,Wednesday,18,1.414393751549715
Unknown,Wednesday,13,1.4108632862644417
Staten Island,Thursday,11,2.739130434782609
Staten Island,Monday,8,2.739130434782609
Staten Island,Monday,19,2.7142857142857144
Staten Island,Thursday,9,2.7
Staten Island,Tuesday,13,2.625
Staten Island,Monday,10,2.607142857142857
Brooklyn,Saturday,22,1.6846737481031866
Queens,Saturday,11,1.6840643274853802
Queens,Thursday,13,1.6840586357815874
Queens,Saturday,13,1.6840225914861837
Queens,Saturday,12,1.68397365532382
Manhattan,Saturday,12,1.683605736609563
Manhattan,Wednesday,2,1.6109092070896267
Brooklyn,Sunday,20,1.6108606997209702
Manhattan,Sunday,8,1.6107946742698702
Brooklyn,Saturday,14,1.610627719080174
Bronx,Wednesday,14,1.6105263157894736
Bronx,Tuesday,23,1.6103896103896105
Bronx,Saturday,19,1.6100719424460432
Manhattan,Tuesday,2,1.6096077620550888
Queens,Thursday,2,1.6094488188976377
Manhattan,Thursday,15,1.6093953876254932
Bronx,Wednesday,1,1.6093366093366093
Manhattan,Monday,12,1.6091648087189012
Manhattan,Friday,4,1.5971599692381788
Manhattan,Tuesday,4,1.597054849295425
EWR,Wednesday,14,1.5970149253731343
Manhattan,Wednesday,11,1.5967595572059057
Manhattan,Saturday,5,1.5967399881633457
Queens,Tuesday,7,1.5966678777183785
Unknown,Saturday,11,1.5160871821484172
Bronx,Saturday,15,1.5160744500846024
Brooklyn,Friday,6,1.5160689333954356
Brooklyn,Thursday,3,1.5157809549500945
Bronx,Wednesday,0,1.5157232704402517
Brooklyn,Wednesday,12,1.5154929577464789
Staten Island,Friday,19,2.857142857142857
Staten Island,Friday,9,2.8181818181818183
Staten Island,Saturday,9,2.8
Staten Island,Monday,15,2.789473684210526
Staten Island,Wednesday,10,2.764705882352941
Staten Island,Sunday,20,2.75
Brooklyn,Saturday,23,1.6815296606848993
Bronx,Wednesday,7,1.6801968019680196
Manhattan,Sunday,17,1.6801773628047743
Queens,Friday,10,1.6792389479574705
Manhattan,Sunday,18,1.679201405177193
Manhattan,Friday,21,1.6784754950615313
Queens,Tuesday,10,1.6348025540884012
EWR,Tuesday,11,1.6346153846153846
Queens,Wednesday,8,1.6346015436924528
Manhattan,Monday,0,1.6344745337528015
Manhattan,Wednesday,22,1.6342347288949897
Brooklyn,Thursday,22,1.6342042755344417
Brooklyn,Saturday,17,1.631486934118513
Manhattan,Tuesday,21,1.631421537298251
Queens,Tuesday,3,1.6313541221700127
Manhattan,Monday,15,1.6311459258399488
Brooklyn,Sunday,14,1.6309910253962192
Brooklyn,Friday,21,1.6303147844248844
Brooklyn,Monday,20,1.607825798607273
Queens,Wednesday,7,1.6077872496208356
Bronx,Saturday,21,1.6077441077441077
Manhattan,Thursday,19,1.6075156786865725
Queens,Thursday,3,1.607486407360937
Manhattan,Wednesday,3,1.607438608214209
Manhattan,Friday,1,1.6377291970296342
Brooklyn,Tuesday,22,1.6370493479928407
Queens,Saturday,0,1.6368591087326445
Manhattan,Tuesday,0,1.6367213793817637
Manhattan,Monday,21,1.6365581492102643
Queens,Monday,10,1.6364063881416828
Manhattan,Friday,2,1.630303944815693
Queens,Tuesday,2,1.6301677453440762
Brooklyn,Saturday,10,1.6297910381048162
Brooklyn,Saturday,13,1.6295289855072463
Unknown,Saturday,22,1.6293103448275863
Queens,Tuesday,4,1.6291603311370164
Brooklyn,Monday,16,1.589597902097902
Brooklyn,Sunday,23,1.5893489176063873
Brooklyn,Thursday,7,1.5892744479495269
Bronx,Sunday,22,1.5890410958904109
Manhattan,Thursday,4,1.5887797566012223
Brooklyn,Thursday,1,1.5885958824890123
Manhattan,Sunday,7,1.5709479257178653
Brooklyn,Monday,11,1.5706644144144144
Bronx,Friday,20,1.5705024311183144
Brooklyn,Thursday,19,1.5698673640949001
Manhattan,Monday,9,1.5693860350277584
Brooklyn,Tuesday,14,1.5688595492829502
Unknown,Saturday,10,1.520270924044509
Brooklyn,Friday,16,1.520199581522614
Manhattan,Wednesday,5,1.520111105892772
Brooklyn,Friday,14,1.5199688796680497
Brooklyn,Wednesday,9,1.5199191685912241
Unknown,Sunday,9,1.519683947879124
Queens,Monday,9,1.6275775437240314
Brooklyn,Saturday,15,1.6273651974187904
Manhattan,Tuesday,3,1.6266138080634303
EWR,Sunday,15,1.6265822784810127
Queens,Wednesday,23,1.6262138850352856
Manhattan,Wednesday,21,1.626090853936311
Manhattan,Friday,16,1.6126801889478302
Manhattan,Wednesday,15,1.61246641124989
EWR,Saturday,14,1.6122448979591837
Brooklyn,Monday,13,1.611922714420358
Queens,Saturday,3,1.6113638473679324
Manhattan,Friday,14,1.6111983164788644
Brooklyn,Monday,15,1.6035260352603526
EWR,Sunday,10,1.603448275862069
Manhattan,Thursday,14,1.602818103656236
Bronx,Wednesday,15,1.6026200873362446
Manhattan,Thursday,3,1.6024582898339472
Manhattan,Tuesday,17,1.602034830205815
Manhattan,Monday,5,1.5347891273565262
Brooklyn,Thursday,16,1.5340765671013883
Brooklyn,Friday,15,1.5338888888888889
Brooklyn,Wednesday,6,1.5333333333333334
Bronx,Monday,20,1.5315068493150685
Bronx,Saturday,0,1.5308924485125859
Bronx,Wednesday,19,1.694789081885856
Manhattan,Saturday,13,1.6932335156228264
Manhattan,Sunday,4,1.692807010713565
EWR,Monday,13,1.6923076923076923
Manhattan,Friday,23,1.6906494921856885
Manhattan,Sunday,13,1.6900245330287258
Queens,Saturday,22,1.6751852138671623
Queens,Thursday,11,1.6751487414187642
Manhattan,Sunday,19,1.67510005400327
Queens,Tuesday,17,1.6747398942520895
Manhattan,Sunday,10,1.674398195398787
Queens,Thursday,18,1.6741776035452531
Manhattan,Sunday,23,1.6459683125183837
Brooklyn,Saturday,11,1.6453795001146525
Queens,Sunday,21,1.6450820695683543
Queens,Friday,8,1.645047865924082
Brooklyn,Sunday,13,1.6450200316780024
Manhattan,Friday,19,1.6448632165761525
Bronx,Tuesday,13,1.6393034825870647
Manhattan,Tuesday,22,1.6388947747057339
Brooklyn,Saturday,0,1.6383972055217815
Bronx,Friday,19,1.638360175695461
Brooklyn,Saturday,2,1.638348274420549
Brooklyn,Saturday,4,1.6379852328386577
Manhattan,Wednesday,23,1.6340789611542184
Queens,Saturday,4,1.6340082908163265
Queens,Saturday,9,1.6339690605602548
Queens,Wednesday,22,1.6333975570743056
Queens,Tuesday,8,1.6333293796702646
Queens,Friday,0,1.6330906578807525
Bronx,Thursday,6,1.6237218813905931
Manhattan,Wednesday,1,1.6236003228084335
Bronx,Saturday,23,1.623413258110014
Brooklyn,Sunday,11,1.62276023890785
Brooklyn,Tuesday,23,1.6227478174726022
Manhattan,Tuesday,1,1.622616020849662
Bronx,Sunday,10,1.5831932773109243
Brooklyn,Thursday,0,1.5829590117911285
Brooklyn,Wednesday,15,1.5827120693129155
Bronx,Saturday,10,1.5824561403508772
Bronx,Saturday,17,1.5823605706874189
Brooklyn,Friday,19,1.582170415366935
Bronx,Tuesday,6,1.5732758620689655
Brooklyn,Tuesday,20,1.5725025746652934
Manhattan,Friday,9,1.5716179839522317
Staten Island,Monday,0,1.5714285714285714
Bronx,Friday,11,1.5714285714285714
Manhattan,Friday,8,1.571256962020671
Unknown,Sunday,0,1.565363208220351
Manhattan,Tuesday,8,1.56515266345744
Bronx,Saturday,2,1.5650684931506849
Bronx,Wednesday,3,1.5650557620817844
Manhattan,Wednesday,9,1.5649656085281396
Manhattan,Thursday,8,1.5636379814176533
Brooklyn,Friday,10,1.5274866310160429
EWR,Wednesday,16,1.5272727272727273
Brooklyn,Friday,11,1.527238572323106
Bronx,Wednesday,10,1.5269058295964126
Unknown,Saturday,14,1.5264964920137334
Unknown,Saturday,1,1.5260663507109005
Unknown,Saturday,12,1.5233216918897943
Bronx,Thursday,2,1.5226586102719033
Manhattan,Monday,6,1.522591194625751
Manhattan,Tuesday,6,1.522370272157728
Bronx,Saturday,16,1.5221238938053097
Unknown,Saturday,15,1.5220943449843705
Bronx,Thursday,3,1.5061728395061729
Brooklyn,Thursday,17,1.5061211839454518
Brooklyn,Wednesday,3,1.5061058344640434
Bronx,Sunday,13,1.5055555555555555
Bronx,Saturday,3,1.5053191489361701
Brooklyn,Thursday,6,1.5049552816050278
Bronx,Saturday,5,1.4744827586206897
Unknown,Wednesday,22,1.4735902690553315
Unknown,Saturday,8,1.4731767998756025
Bronx,Wednesday,23,1.4728506787330318
Unknown,Monday,16,1.4720491803278688
Bronx,Thursday,12,1.4719101123595506
Unknown,Wednesday,23,1.4473467369808832
Unknown,Saturday,5,1.4471309996391195
Bronx,Friday,12,1.4469525959367946
Unknown,Thursday,1,1.4468431771894095
Unknown,Thursday,22,1.4458432159581585
Bronx,Tuesday,16,1.4455252918287937
Unknown,Friday,10,1.3881830838844413
Bronx,Tuesday,5,1.3868194842406876
Unknown,Thursday,12,1.3863801599482994
Unknown,Thursday,10,1.3858705239019227
Unknown,Wednesday,9,1.3856451891518398
Unknown,Tuesday,9,1.3853442280945758
Manhattan,Saturday,3,1.6784380322893566
Queens,Friday,11,1.6784016738304792
Brooklyn,Sunday,0,1.678357040323633
Bronx,Thursday,20,1.6782077393075356
Queens,Friday,14,1.678109098141917
Manhattan,Saturday,11,1.6778897119298102
Queens,Tuesday,16,1.6361848078281045
Brooklyn,Sunday,18,1.636145041838992
Queens,Wednesday,1,1.6359941768773505
Manhattan,Thursday,21,1.6358410898585478
Queens,Tuesday,0,1.635640326975477
Queens,Thursday,8,1.6354725601657547
Manhattan,Sunday,5,1.621836118444975
Brooklyn,Sunday,22,1.621763440860215
Brooklyn,Monday,22,1.621501218794654
Queens,Thursday,0,1.6214833759590792
Manhattan,Friday,18,1.6213167706918565
Bronx,Wednesday,16,1.6212424849699398
Brooklyn,Thursday,9,1.5510597302504816
Bronx,Friday,2,1.5508849557522124
Manhattan,Thursday,7,1.549777084262149
Unknown,Sunday,2,1.5494126421778855
Unknown,Saturday,18,1.5491439027578093
Brooklyn,Tuesday,4,1.5490360435875943
Bronx,Tuesday,10,1.5135135135135136
EWR,Tuesday,10,1.5135135135135136
Manhattan,Wednesday,6,1.5134249956873826
Bronx,Wednesday,11,1.5131004366812226
Bronx,Thursday,22,1.51252408477842
Brooklyn,Wednesday,11,1.5114795918367347
Manhattan,Monday,23,1.6448561025906905
EWR,Sunday,12,1.644736842105263
Queens,Sunday,20,1.6440246171461286
Queens,Wednesday,21,1.6438021709723185
Manhattan,Thursday,22,1.6437449943064493
Queens,Wednesday,2,1.643643112819833
Brooklyn,Tuesday,12,1.557682491066871
Unknown,Saturday,16,1.5567795357090048
Brooklyn,Tuesday,18,1.5565331114017358
Bronx,Friday,3,1.5563549160671464
Brooklyn,Monday,9,1.556228642435539
Bronx,Wednesday,21,1.5560538116591929
Staten Island,Sunday,2,1.5217391304347827
Brooklyn,Friday,12,1.521608040201005
Brooklyn,Sunday,7,1.5214791851195748
Bronx,Friday,14,1.5214285714285714
Unknown,Sunday,16,1.5214259463432562
Brooklyn,Monday,5,1.521091811414392
Unknown,Thursday,19,1.4234696889203706
Unknown,Tuesday,20,1.4222929504977315
Unknown,Monday,11,1.422002820874471
Unknown,Monday,1,1.4219279334770558
Unknown,Thursday,18,1.4211589895988113
Unknown,Friday,0,1.4204989759821263
Queens,Thursday,15,1.6719792895761054
Queens,Sunday,15,1.6713287803661085
Queens,Wednesday,14,1.6710162325799884
Queens,Monday,20,1.669176731374179
Manhattan,Saturday,4,1.6690453074433658
Queens,Sunday,18,1.668078967350038
Brooklyn,Saturday,1,1.6562700600385152
Queens,Sunday,1,1.656160756010177
Queens,Friday,16,1.6561228673247343
Queens,Monday,12,1.6560504579094335
Queens,Wednesday,13,1.6557800570679417
Brooklyn,Saturday,20,1.655562848703643
Bronx,Friday,18,1.6504161712247325
Queens,Sunday,4,1.6496509319157113
Bronx,Thursday,23,1.6496478873239437
Manhattan,Monday,22,1.6494660580031606
Bronx,Wednesday,20,1.648578811369509
Brooklyn,Saturday,18,1.6482664233576643
Brooklyn,Saturday,8,1.6244372990353697
Queens,Sunday,7,1.624266815087554
Manhattan,Monday,1,1.6240173329056835
Queens,Wednesday,3,1.6239669421487604
Bronx,Wednesday,22,1.6237864077669903
Bronx,Saturday,8,1.6237623762376239
Brooklyn,Thursday,21,1.6091273889682378
Queens,Thursday,1,1.6090941898231685
Queens,Sunday,23,1.6090169777557939
Queens,Monday,2,1.6087955365933706
Brooklyn,Friday,0,1.6085189400097546
Manhattan,Monday,2,1.6085092030451962
Unknown,Saturday,13,1.510479261321999
Brooklyn,Wednesday,10,1.5096129837702872
EWR,Sunday,13,1.5086206896551724
Brooklyn,Saturday,6,1.508505467800729
EWR,Saturday,19,1.5084745762711864
Unknown,Saturday,9,1.5079963445282156
Bronx,Monday,23,1.5073684210526315
Unknown,Sunday,12,1.5073477406679765
Unknown,Sunday,13,1.5070656691604323
Unknown,Sunday,3,1.5068931289290834
Unknown,Sunday,20,1.5068421511374532
Brooklyn,Wednesday,17,1.5068275643061289
EWR,Tuesday,7,1.4528301886792452
Bronx,Saturday,12,1.4515151515151514
Unknown,Wednesday,5,1.4510102935569957
Unknown,Thursday,21,1.4509781089892875
Unknown,Tuesday,6,1.4503227838135726
Unknown,Tuesday,22,1.4502001231527093
Bronx,Saturday,7,1.7052441229656419
Queens,Saturday,15,1.7048239208049334
Manhattan,Sunday,1,1.7047669822543596
Bronx,Tuesday,7,1.7044476327116211
Queens,Saturday,14,1.7009702526921846
Manhattan,Sunday,3,1.700426668201816
Queens,Sunday,3,1.6330562123407826
Queens,Sunday,8,1.6329959595151418
Queens,Wednesday,9,1.6328613224107664
Brooklyn,Monday,21,1.631803527403755
EWR,Saturday,18,1.631578947368421
Staten Island,Saturday,4,1.631578947368421
Bronx,Monday,6,1.6209150326797386
